PortfolioCode,portfolioname,EQUITY,CORPORATE BONDS,GOVERNMENT BONDS,INVESTMENT FUNDS,MEDIUM TERM NOTES,LAIN2,ASSET
0D54AD,0D54ADYJ002,23700706000,0,28714319358,0,0,2504807785,54919833143
0D74AA,0D74AAKI002,90598862800,0,0,0,0,643133537.7,91241996338
0D74AB,0D74ABKI002,0,0,0,0,3E+11,575681047.6,3.00576E+11
0D74AC,0D74ACKI002,0,0,0,0,2E+11,805113387,2.00805E+11
0D74AD,0D74ADKI002,0,0,0,0,1.5E+11,2138366678,1.52138E+11
0D74AE,0D74AEKI002,0,20756971070,0,0,0,42778868060,63535839130
0D74AH,0D74AHKI002,0,0,2.36435E+11,0,0,4385238912,2.4082E+11
0F111A,0F111AF111KP,2905860000,0,0,483034137.6,0,3940.74,3388898078
0G146B,0G146B0G146B,7501375000,0,0,0,0,2565185073,10066560073
0G156A,0G156A00G1,22612868500,0,0,0,0,1988387220,24601255720
0G157A,0G157A00G1,68965365000,0,0,0,0,50265546.9,69015630547
0G162A,0G162A00G1,8728525000,0,0,0,0,1990967410,10719492410
0G172A,0G172ACC-KPD,0,0,0,2990776.75,0,-565.43,2990211.32
0G173A,0G173ACC-KPD,0,0,0,502934.55,0,11.08,502945.63
