SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BZ002,BBRI01CCN3,OBL BKLJT I BANK BRI TAHAP III TAHUN 2016 SERI C,99.959886,99.959900,101.259886,98.659886,
IBPA,20180813,BZ002,BBRI02ACN3,OBL BKLJT II BANK BRI TAHAP III TAHUN 2017 SERI A,99.181294,99.181300,100.481294,97.881294,
IBPA,20180813,BZ002,BBRI02ACN4,OBL BKLJT II BANK BRI TAHAP IV TAHUN 2018 SERI A,90.821389,90.821400,92.421389,89.221389,
IBPA,20180813,BZ002,BBRI02BCN1,OBL BKLJT II BANK BRI TAHAP I TAHUN 2016 SERI B,100.162242,100.162200,101.462242,98.862242,
IBPA,20180813,BZ002,BBRI02BCN2,OBL BKLJT II BANK BRI TAHAP II TAHUN 2017 SERI B,100.449538,100.449500,101.749538,99.149538,
IBPA,20180813,BZ002,BBRI02BCN3,OBL BKLJT II BANK BRI TAHAP III TAHUN 2017 SERI B,96.452300,96.452300,98.052300,94.852300,
IBPA,20180813,BZ002,BBRI02BCN4,OBL BKLJT II BANK BRI TAHAP IV TAHUN 2018 SERI B,93.680000,93.680000,95.280000,92.080000,
IBPA,20180813,BZ002,BBRI02CCN2,OBL BKLJT II BANK BRI TAHAP II TAHUN 2017 SERI C,97.898477,97.898500,99.498477,96.298477,
IBPA,20180813,BZ002,BBRI02CCN3,OBL BKLJT II BANK BRI TAHAP III TAHUN 2017 SERI C,94.977586,94.977600,96.577586,93.377586,
IBPA,20180813,BZ002,BBRI02DCN1,OBL BKLJT II BANK BRI TAHAP I TAHUN 2016 SERI D,97.448343,97.448300,99.048343,95.848343,
IBPA,20180813,BZ002,BBRI02DCN2,OBL BKLJT II BANK BRI TAHAP II TAHUN 2017 SERI D,95.514912,95.514900,97.114912,93.914912,
IBPA,20180813,BZ002,BBTN01CN1,OBL BERKELANJUTAN I BANK BTN TAHAP I TAHUN 2012,95.395169,95.395200,96.995169,93.795169,
